sexo,idade,ano,observado,previsto,lower,upper
Feminino,5,2016,2.0280462595675e-4,2.4671890451082284e-4,2.2591249155783788e-4,2.653387862658651e-4
Feminino,10,2016,2.4412063146909e-4,3.6375002145626854e-4,2.9434087352249157e-4,4.131507405245429e-4
Feminino,15,2016,4.6653646507089e-4,0.0015960246747029486,9.224662667218058e-4,0.0020553211912433724
Feminino,20,2016,5.606952952804e-4,0.002216403481352764,0.0015372901099231025,0.002890997378854274
Feminino,25,2016,6.7065080285973e-4,0.002133104041895787,0.001534820090620423,0.0027257184178339287
Feminino,30,2016,9.0323417775662e-4,0.002252161786028667,0.0014636211655884718,0.002810012724779048
Feminino,35,2016,0.00129813036448878,0.0026379085444665157,0.0020692628455488984,0.003186060467264094
Feminino,40,2016,0.0018801837204144,0.0034383161705129903,0.0025394209222694875,0.004078081623128716
Feminino,45,2016,0.00276913102869272,0.0047285492412032,0.003577558922519853,0.0055298116308399505
Feminino,50,2016,0.00410540216228509,0.0068607180827487185,0.005718376310565218,0.007991682609415622
Feminino,55,2016,0.00613897417303654,0.009974290300854415,0.008361764710540124,0.011596064865185626
Feminino,60,2016,0.00934098078133144,0.014354660555756169,0.011427183457656509,0.016457722251074103
Feminino,65,2016,0.0143617906818095,0.020710827224694695,0.01788268002943414,0.023441560508476317
Feminino,70,2016,0.0209030466156008,0.030554120708955666,0.026359849837324364,0.03458146122933298
Feminino,75,2016,0.0364720048033259,0.04820318404019628,0.04310944899738984,0.053178599061341834
Feminino,80,2016,0.0633300542074554,0.07961030857243111,0.07268609015084283,0.08640527781267891
Feminino,85,2016,0.111580109134992,0.13020648064720575,0.122588154885696,0.13751602873841795
Feminino,90,2016,0.190299559143387,0.1995867914089911,0.19370880342549923,0.20453017659053904
Feminino,0,2017,0.0118457403996224,0.012258112293124051,0.011356397692252287,0.013160706744838076
Feminino,1,2017,4.906802113217e-4,5.129658327203214e-4,4.8372191452990146e-4,5.443595664889944e-4
Feminino,5,2017,1.9698284661569e-4,2.4155177154759e-4,2.2001096835725758e-4,2.624739559324411e-4
