sexo,idade,ano,observado,previsao_combinada,ARIMA,ETS,FDM,LC,CNNGRU,CNN,GRU
Feminino,80,2016,0.0633300542074554,0.06332205091920451,0.0631496447039871,0.0631159607650004,0.0644314196992052,0.0638194323616208,0.0632724617040243,0.0631863413324278,0.0633485702146955
Feminino,85,2016,0.111580109134992,0.11217846225481375,0.112285593124536,0.112209810495606,0.112231724423061,0.111285659733419,0.11221689769558,0.1119485131270956,0.112313245295732
Feminino,90,2016,0.190299559143387,0.1874104072179615,0.188687920239193,0.188648843201064,0.19061231262271,0.185297065367486,0.186429384268051,0.1866420073543184,0.1864190115341436
Feminino,0,2017,0.0118457403996224,0.011006127735490319,0.0105990399700232,0.0107590849598942,0.0114358153489878,0.0107150339113019,0.0109736836363206,0.0110641292225463,0.0114115216511851
Feminino,1,2017,0.0004906802113217,0.00045945232413381284,0.0004746641326935,0.0004695345946858,0.0005054367654561,0.0004427928215246,0.00045343992948488,0.00045468754504083,0.00046541415722656
Feminino,5,2017,0.0001969828466156,0.00020509659930371832,0.0001993152819296,0.0001993573641458,0.0001992085210534,0.0002093455601352,0.00021344240191469,0.00021509506952157,0.00021375538434443
Feminino,10,2017,0.0002441271937063,0.00024358145887906638,0.0002408923301547,0.0002405767898511,0.0002503594506062,0.0002452680666861,0.00025124055325277,0.00025229074797285,0.00025517631352562
Feminino,15,2017,0.0004553574386028,0.00046372612048467706,0.0004516403813799,0.0004471247254129,0.0004485350511678,0.0004656910382657,0.00046581005026698,0.00046879557848003,0.00047135274152606
Feminino,20,2017,0.0005576093507528,0.0005595984835415996,0.0005668849060376,0.0005642087569272,0.0005646696092873,0.0005496047414894,0.00055256164560046,0.00056208552840205,0.00056584500590472
Feminino,25,2017,0.0006568204264208,0.000677579013756019,0.000675668673718,0.0006784666149969,0.0006971954787232,0.0006615815163768,0.00069173566992393,0.00069164876058587,0.00070362416725116
Feminino,30,2017,0.000885300082678,0.0009166056466732273,0.0009001354487668,0.000895134970764,0.0009268619464849,0.0008903237639828,0.00092693789093831,0.00093157409148133,0.00093873539946352
Feminino,35,2017,0.0012650692947919,0.001294676286774691,0.0013152627418787,0.0013050037729937,0.0013581962902327,0.0012526290398225,0.0013013763088952,0.0012858755322196,0.0012988742405093
Feminino,40,2017,0.0018422212535738,0.001876753078529882,0.0018897224623874,0.0018645238139595,0.0019197520007369,0.0018397740566003,0.0018804182818739,0.0019150604582313,0.0019292999589404
Feminino,45,2017,0.002723027397572,0.002744582885973407,0.002738483711718,0.0027332486690269,0.0027873879364064,0.0027218717306507,0.0027499368083602,0.0027775271419822,0.0028219347141506
Feminino,50,2017,0.0040232127451145,0.004008062829158371,0.0039796598908797,0.0039796686486801,0.0041966306887522,0.0040051864247454,0.0040031195906213,0.0040242941347584,0.004116996750824
Feminino,55,2017,0.0059935448311351,0.006028617950081996,0.0060748785627853,0.0060901955268618,0.0062044845157429,0.0059792237058648,0.0059519259521637,0.005883913353797,0.0060415487392237
Feminino,60,2017,0.0092233832213539,0.008929467067589377,0.009134961082794,0.0091222243679908,0.0093576651278771,0.0089456460979058,0.0088756948752895,0.0087781163892286,0.0089184977393658
Feminino,65,2017,0.0141235800508043,0.013995708741192901,0.0139579803027449,0.0139562379611926,0.0143801802972488,0.0140884313591726,0.013937632371191,0.0139662649129875,0.0139986548195669
Feminino,70,2017,0.0205736387689359,0.020424571076708857,0.020513263708225,0.0205145179884092,0.0209518080269157,0.0205747369921863,0.0201970745621701,0.0201835385951843,0.0204592866503284
Feminino,75,2017,0.035936673507818,0.03556941561756908,0.0359281266304634,0.0359201201020824,0.0365671108310798,0.0359847143531057,0.0353588185269797,0.0351263999713872,0.0357327272004542
Feminino,80,2017,0.0625697982042192,0.06258373832639759,0.0623605140402693,0.062294063469761,0.0641965737529548,0.0631174093426799,0.0625528505293448,0.062325118229516,0.0628700950195348
Feminino,85,2017,0.109264525517984,0.11155347129337018,0.111504198699492,0.111353768156827,0.111718580585489,0.110417656018797,0.1113039310822737,0.1114557625346384,0.1119736187727176
