

IDADE	ANO	Mulheres	Homens	Ambos
80	2013	0.064792033122183	0.0868565530179423	0.0735537221448411
85	2013	0.114003210943995	0.13867211847715	0.123152861202842
90	2013	0.184321844879727	0.202870884287066	0.19082505389212
0	2014	0.0123718633393905	0.0148403103196573	0.0136350382860009
1	2014	0.000502667202939017	0.000569693132021594	0.000536978293585871
5	2014	0.000213595263759559	0.000274602430212032	0.000244801845989221
10	2014	0.000253562852628468	0.000412376752706705	0.000334507458815728
15	2014	0.000485000815960492	0.0021445902978721	0.0013205915942781
20	2014	0.000568483492377293	0.00284601969252999	0.00170309151597892
25	2014	0.000693089386871863	0.00272768682003835	0.00169944387158285
30	2014	0.000940557803253818	0.00284044051693942	0.00187251051254242
35	2014	0.00133030933373209	0.00329324834696821	0.00228707866919479
40	2014	0.00192869614350617	0.00420052928522191	0.00302878756773802
45	2014	0.00286913702121522	0.00574496857010499	0.0042483817556346
50	2014	0.00419400166739823	0.00814995685295332	0.00607530705479623
55	2014	0.00633669742985923	0.0117182139227676	0.00887896986188744
60	2014	0.00947677052924951	0.0167253029776475	0.0128644820792078
65	2014	0.0146651362453383	0.0240845623176976	0.0190145753633744
70	2014	0.0213470672329195	0.0354236340216313	0.0276495441308916
75	2014	0.0371436467953298	0.055097811837479	0.0447952572166353
80	2014	0.0641954095672538	0.0860640764978715	0.0728816758474164
85	2014	0.113643574994267	0.138495592922006	0.122855473627083
90	2014	0.186229617557647	0.206859987253588	0.193398486795255
0	2015	0.0117233358009031	0.0139510872067797	0.0128633872889541
1	2015	0.000497603843405669	0.00056385394843415	0.000531523610157047
5	2015	0.000209934306562295	0.00026320101971294	0.000237180095765507
10	2015	0.000250605192360582	0.000399745937070284	0.00032675791943684
15	2015	0.00047203179142977	0.00216484341167071	0.00132619690792883
20	2015	0.000567950130009549	0.0028753924161718	0.00171846960671951
25	2015	0.000689214456129607	0.00271670591156211	0.00169285345294152
30	2015	0.000926885914302246	0.002788359477964	0.00184105235317669
35	2015	0.0013252747738422	0.00319899003036607	0.00223864528171971
40	2015	0.00191561641493295	0.00408593875759456	0.00296717794521677
45	2015	0.00282490759925553	0.0056317653067292	0.00417206624201909
50	2015	0.0041694090555392	0.00801284877495748	0.00599609377672742
55	2015	0.00624819412207065	0.0115993632393858	0.00877360239801829
60	2015	0.00941486269765082	0.0167315795270259	0.0128285816911482
65	2015	0.0145379174710581	0.0241034279828805	0.0189480132592621
70	2015	0.021175638947047	0.0349956505517096	0.0273672658157238
75	2015	0.0368841513490415	0.0543738438965207	0.0443497466694559
80	2015	0.0639487612893094	0.0851623042669955	0.0723890369954633
85	2015	0.113072463372505	0.137658395033412	0.122180512142916
90	2015	0.188687920239193	0.21058102288878	0.196228972466238
0	2016	0.0112441653700822	0.0135205973397519	0.0124091232661057
1	2016	0.000482658039132429	0.000547895048028865	0.00051606012802238
5	2016	0.000202804625956757	0.000254574544624785	0.000229295321325133
10	2016	0.000244120631469099	0.000379603233180083	0.000313367344695055
15	2016	0.00046653646507089	0.00214515092977761	0.00131539525181774
20	2016	0.000560695295280403	0.00289378198862236	0.00172517101099002
25	2016	0.000670650802859736	0.00268515843763769	0.00166855316511309
30	2016	0.000903234177756624	0.00271249478754558	0.00179273160027578
35	2016	0.00129813036448878	0.00310993240598961	0.0021815195706889
40	2016	0.0018801837204144	0.00396177403582487	0.00288930355316909
45	2016	0.00276913102869272	0.00545824255628177	0.00406083791787735
50	2016	0.00410540216228509	0.00781993137467045	0.00587044792675991
55	2016	0.00613897417303654	0.0113042803424906	0.0085739829208881
60	2016	0.00934098078133144	0.0165607458082245	0.0127050233325653
65	2016	0.0143617906818095	0.0239560642409194	0.0187762112220789
70	2016	0.0209030466156008	0.034507055246693	0.0270010199312401
75	2016	0.0364720048033259	0.0536727922224078	0.0438231805970066
80	2016	0.0633300542074554	0.084518761697297	0.0717859630185064
85	2016	0.111580109134992	0.136130545446371	0.120666463901105
90	2016	0.190299559143387	0.213843239645728	0.1983476136475
0	2017	0.0118457403996224	0.0138348693738661	0.012863715851619
1	2017	0.000490680211321701	0.000550063955519368	0.000521083656793392
5	2017	0.000196982846615696	0.000251601177568536	0.000224941561485341
10	2017	0.000244127193706332	0.000364126766652861	0.00030549625760623
15	2017	0.000455357438602881	0.00208299015362052	0.00128021518482542
20	2017	0.000557609350752891	0.00287377991422719	0.00171512945491359
25	2017	0.000656820426420847	0.00262423261934667	0.00163202672975874
30	2017	0.000885300082678025	0.00263084755725137	0.00174428604743515
35	2017	0.00126506929479191	0.00301870070986003	0.0021204861400715
40	2017	0.00184222125357385	0.00383364674497096	0.00280809373275127
45	2017	0.00272302739757205	0.00529782126541753	0.00396083809869948
50	2017	0.00402321274511456	0.00765941016976272	0.00575135191609925
55	2017	0.00599354483113515	0.0110814293537621	0.00838941690311158
60	2017	0.00922338322135395	0.0164329561480826	0.0125794312033981
65	2017	0.0141235800508043	0.0237002180266519	0.0185197840392794
70	2017	0.0205736387689359	0.0339966389886845	0.0265915836765864
75	2017	0.035936673507818	0.0530386482350519	0.0432529318596678
80	2017	0.0625697982042192	0.0837252295000329	0.0710435754189944
85	2017	0.109264525517984	0.134126472285394	0.118452282287798
90	2017	0.188929447183116	0.215434512173449	0.19793032230377
0	2018	0.0115660615701648	0.0135786263750232	0.0125961118672796
1	2018	0.00047500172266825	0.000548496236715638	0.000512628272294209
5	2018	0.000195505270313915	0.000248054140372009	0.00022241249852167
10	2018	0.000239960725398453	0.000347598773313543	0.000295022901989037
15	2018	0.000446617361625855	0.00191994087257499	0.00119487559111281
20	2018	0.000556124308511958	0.00274528373722183	0.00165201727527514
25	2018	0.000644719598209975	0.00251330676859386	0.00157151250787609
30	2018	0.000868724351469502	0.00254425755574667	0.00169393646145791
35	2018	0.00123483820321334	0.00292157786050983	0.00205825244113301
40	2018	0.00179901836688201	0.00371469870311863	0.00272847662139115
45	2018	0.00265208163112524	0.0051087793614081	0.00383408401072333
50	2018	0.00392767109644891	0.00748051327322415	0.00561687786416938
55	2018	0.00586148485455785	0.010786702996587	0.00817883990577953
60	2018	0.00910904821087955	0.016143986391298	0.0123813984622388
