"IDADE","INTERVALO DE IDADE","SEXO","ANO","LOCAL","nMx","nAx","nqx","lx","ndx","nLx","Sx","Tx","ex"
20,5,"Homens",2023,"Brasil",0.00233192084599805,2.62209872920809,0.0115953073515898,97463.8359920575,1130.12313399285,484631.858723814,0.98770101355585,5341990.85072481,54.8099794795696
25,5,"Homens",2023,"Brasil",0.00251751424403943,2.51283652102761,0.012509244964564,96333.7128580646,1205.0620124875,478671.378062967,0.987456088621464,4857358.992001,50.4222130331226
30,5,"Homens",2023,"Brasil",0.00254335167621814,2.5242133618471,0.0126371846063954,95128.6508455771,1202.1583220929,472666.966717104,0.986636054298073,4378687.61393803,46.02911504596
35,5,"Homens",2023,"Brasil",0.00290063493819423,2.57362110599771,0.0144018141556098,93926.4925234842,1352.71188961148,466350.271038802,0.983750524724132,3906020.64722093,41.5859311071827
40,5,"Homens",2023,"Brasil",0.00372799452019179,2.60476078420046,0.0184750012107005,92573.7806338727,1710.30070928992,458772.323839663,0.978722092169453,3439670.37618212,37.1559890136273
45,5,"Homens",2023,"Brasil",0.00497816508641527,2.62586129829812,0.0246000806606401,90863.4799245828,2235.24893525118,449010.608617796,0.970501635545102,2980898.05234246,32.806338198984
50,5,"Homens",2023,"Brasil",0.0071691443474117,2.63909439240852,0.0352491068772884,88628.2309893316,3124.06598648796,435765.530040673,0.957466586944302,2531887.44372466,28.5675051330928
55,5,"Homens",2023,"Brasil",0.0104270760946904,2.63477914737056,0.0508805472296599,85504.1650028437,4350.49870575982,417230.934756018,0.938759504813326,2096121.91368399,24.514851570263
60,5,"Homens",2023,"Brasil",0.0151954642381767,2.63282711271022,0.0733392857442747,81153.6662970839,5951.75192175734,391679.505704361,0.910002968608204,1678890.97892797,20.6878019876756
65,5,"Homens",2023,"Brasil",0.0229640667040199,2.6078327629874,0.108841259937158,75201.9143753265,8185.07111029683,356429.512933962,0.872767509851488,1287211.47322361,17.116738103225
70,5,"Homens",2023,"Brasil",0.0320800681482194,2.59465021067798,0.148909889982061,67016.8432650297,9979.47075754056,311080.098440953,0.818226617985096,930781.960289651,13.8887765365001
75,5,"Homens",2023,"Brasil",0.0498516886151535,2.58428835036169,0.222467305086538,57037.3725074891,12688.9505509581,254534.016869812,0.729022520756027,619701.861848698,10.8648388697661
80,5,"Homens",2023,"Brasil",0.0791492946878162,2.53652765337411,0.331173558050384,44348.421956531,14687.0246932642,185561.030596587,0.598424254244651,365167.844978886,8.23406626140638
85,5,"Homens",2023,"Brasil",0.131089205940872,2.44016377110481,0.490762409879288,29661.3972632669,14556.6988013078,111044.221351632,0.381737147704929,179606.814382299,6.05523781594493
90,0,"Homens",2023,"Brasil",0.220305239260757,4.53915668712891,1,15104.6984619591,15104.6984619591,68562.5930306675,0,68562.5930306675,4.53915668712891
0,1,"Ambos",2023,"Brasil",0.0126078201485335,0.0827516524569111,0.0124636838492714,1e+05,1246.36838492715,98856.7706584956,0.986667388869491,7638845.46784577,76.3884546784577
1,4,"Ambos",2023,"Brasil",0.000558747883353416,1.56093185306783,0.00223194977832192,98753.6316150729,220.413146191757,394476.92377625,0.997997231728017,7539988.69718727,76.3515080293659
5,5,"Ambos",2023,"Brasil",0.000245103666993494,2.34469401375396,0.00122472125546953,98533.2184688811,120.675727028662,492345.661364032,0.998810926315043,7145511.77341102,72.5188102494361
10,5,"Ambos",2023,"Brasil",0.000275842912283883,2.77006415497475,0.00137836671151793,98412.5427418524,135.648572911203,491760.226094201,0.997305287730538,6653166.11204699,67.6048593673575
15,5,"Ambos",2023,"Brasil",0.000898518795391515,2.84553621996172,0.00448391389895185,98276.8941689412,440.665131709931,490435.073779311,0.993984153150652,6161405.88595279,62.6943488401366
20,5,"Ambos",2023,"Brasil",0.00146175140621539,2.61928444806315,0.00728341065779249,97836.2290372313,712.581433287996,487484.691485906,0.992210911759708,5670970.81217348,57.9639144719632
25,5,"Ambos",2023,"Brasil",0.00161635758007588,2.53059891889574,0.00804965821160234,97123.6476039433,781.812167475859,483687.630208131,0.991723973046205,5183486.12068757,53.3699696064249
30,5,"Ambos",2023,"Brasil",0.00172060108290555,2.54701767664163,0.00856684814063884,96341.8354364674,825.345873774626,479684.618343311,0.990705142312823,4699798.49047944,48.7825301354023
35,5,"Ambos",2023,"Brasil",0.00206074191140385,2.59380577455671,0.0102528702356306,95516.4895626928,979.318172849249,475226.018081083,0.988171611260844,4220113.87213613,44.1820453353893
40,5,"Ambos",2023,"Brasil",0.00275536200588459,2.61888692468867,0.0136870118917317,94537.1713898436,1293.93138902346,469604.860000258,0.984052237952057,3744887.85405505,39.6128612586919
45,5,"Ambos",2023,"Brasil",0.00374820450889459,2.63265595340757,0.0185761906248451,93243.2400008201,1732.10420073342,462115.713436417,0.977672455449261,3275282.99405479,35.1262246359734
50,5,"Ambos",2023,"Brasil",0.00540745985577771,2.64318880124705,0.0266970622546497,91511.1358000867,2443.07848944861,451797.804257068,0.967762124641497,2813167.28061837,30.7412563074723
55,5,"Ambos",2023,"Brasil",0.00786685034662131,2.64293014767198,0.0386181660558037,89068.0573106381,3439.64502749006,437232.802956184,0.953130946030796,2361369.4763613,26.5119679002954
60,5,"Ambos",2023,"Brasil",0.0116175009912962,2.6449454797217,0.0565405637147523,85628.412283148,4841.47870048841,416740.115117324,0.930107430437021,1924136.67340512,22.4707736848205
65,5,"Ambos",2023,"Brasil",0.0177178230481157,2.62341314652164,0.0850095382514917,80786.9335826596,6867.65992061583,387613.077631802,0.89987230227263,1507396.5582878,18.6589153893984
70,5,"Ambos",2023,"Brasil",0.0250800823960905,2.62298580829785,0.118345179847567,73919.2736620438,8747.98973573613,348802.272559509,0.85110637766724,1119783.48065599,15.148734899312
75,5,"Ambos",2023,"Brasil",0.0410874938210578,2.62341061393439,0.187161503567743,65171.2839263077,12197.5554890881,296867.838720225,0.765345888772264,770981.208096485,11.8300754818375
80,5,"Ambos",2023,"Brasil",0.0683963791063426,2.57646061187467,0.293354986158507,52973.7284372196,15540.1073724651,227206.579873232,0.635449115096439,474113.36937626,8.94997168149383
85,5,"Ambos",2023,"Brasil",0.117528224901685,2.47827768871481,0.453296139754907,37433.6210647545,16968.5159257012,144378.220124534,0.415252126459799,246906.789503028,6.59585641143069
90,0,"Ambos",2023,"Brasil",0.199603927598993,5.00992145810384,1,20465.1051390533,20465.1051390533,102528.569378494,0,102528.569378494,5.00992145810384
0,1,"Mulheres",2024,"Brasil",0.0113236058188109,0.0836219326132571,0.0112073108710854,1e+05,1120.73108710854,98972.9866123352,0.987966399922878,7988169.19699918,79.8816919699918
1,4,"Mulheres",2024,"Brasil",0.000514449703105167,1.50575709054524,0.00205516170593835,98879.2689128915,203.212886980953,395010.213349104,0.998180313030601,7889196.21038684,79.7861502934138
5,5,"Mulheres",2024,"Brasil",0.000223625770974272,2.31581811691861,0.00111745809814145,98676.0560259105,110.266357898814,493084.305169367,0.998952874437993,7494185.99703774,75.9473604728375
10,5,"Mulheres",2024,"Brasil",0.000222594749115404,2.61987323016685,0.00111238440018241,98565.7896680117,109.643046818353,492567.9839892,0.998498082376551,7001101.69186837,71.0297326836158
15,5,"Mulheres",2024,"Brasil",0.000398453754170689,2.69074943269205,0.00199043731065084,98456.1466211933,195.970787697734,491828.1874533,0.997601081245667,6508533.70787917,66.1059154886544
20,5,"Mulheres",2024,"Brasil",0.000558321334072787,2.6179129289331,0.00278789884844494,98260.1758334956,273.939431054197,490648.331590508,0.996848269231475,6016705.52042587,61.2323911430948
25,5,"Mulheres",2024,"Brasil",0.00070567635658722,2.59742879738981,0.00352240975666552,97986.2364024414,345.147675122891,489101.940147309,0.996033062998238,5526057.18883536,56.3962592270528
30,5,"Mulheres",2024,"Brasil",0.000897532790601509,2.61290945030713,0.00447806972425763,97641.0887273185,437.243603273368,487161.703563305,0.994782898896001,5036955.24868805,51.5864306138036
35,5,"Mulheres",2024,"Brasil",0.00122426678795356,2.64186127943392,0.00610371257699815,97203.8451240452,593.304332016225,484620.131701819,0.99257625658346,4549793.54512475,46.8067239451135
40,5,"Mulheres",2024,"Brasil",0.00179511876727537,2.64877170400324,0.008937869466472,96610.5407920289,863.492402684424,481022.436189575,0.989317735881783,4065173.41342293,42.0779490529292
