"idade","ano","previsto","inferior","superior","sexo","observado"
25,"2012",0.00172890323303972,0.00170416269854827,0.00175400294335836,"Ambos",0.00166855316511309
30,"2012",0.00202667423320943,0.00193293973350016,0.00212495422199085,"Ambos",0.00179273160027578
35,"2012",0.00244487328981313,0.00236102419013164,0.00253170019529042,"Ambos",0.0021815195706889
40,"2012",0.00332144072394496,0.00318524021953646,0.00346346514621289,"Ambos",0.00288930355316909
45,"2012",0.00456652545447414,0.00446283125577214,0.00467262899518981,"Ambos",0.00406083791787735
50,"2012",0.00663687190364139,0.0063999730174158,0.00688253974594574,"Ambos",0.00587044792675991
55,"2012",0.00955389871588449,0.0091902590096669,0.00993192689970635,"Ambos",0.0085739829208881
60,"2012",0.0134216303462707,0.0132458155332348,0.0135997787905131,"Ambos",0.0127050233325653
65,"2012",0.0201602219639556,0.0198756269493392,0.0204488920360559,"Ambos",0.0187762112220789
70,"2012",0.0301294698847,0.0286331651838456,0.0317039680979873,"Ambos",0.0270010199312401
75,"2012",0.0452600919396212,0.0441503116730979,0.0463977680961913,"Ambos",0.0438231805970066
80,"2012",0.0760067915315912,0.0747956761894505,0.0772375176379725,"Ambos",0.0717859630185064
85,"2012",0.121789571868006,0.119392356680065,0.124234919455851,"Ambos",0.120666463901105
90,"2012",0.19223718596234,0.190208571795881,0.194287435722807,"Ambos",0.1983476136475
0,"2013",0.0133087052486017,0.0126290306152437,0.0140249589054259,"Ambos",0.012863715851619
1,"2013",0.000608546247284403,0.000555116496129124,0.000667118591622233,"Ambos",0.000521083656793392
5,"2013",0.000253055557961094,0.000237426716031181,0.000269713183442215,"Ambos",0.000224941561485341
10,"2013",0.000348543222260123,0.000340870717937471,0.000356388423501236,"Ambos",0.00030549625760623
15,"2013",0.00119985589693592,0.00115480257404513,0.00124666692451938,"Ambos",0.00128021518482542
20,"2013",0.00168835523605872,0.00165346288784194,0.00172398390316903,"Ambos",0.00171512945491359
25,"2013",0.00169844813399781,0.00167095104725449,0.00172639771142337,"Ambos",0.00163202672975874
30,"2013",0.00199635786980663,0.00189947873373161,0.0020981781335921,"Ambos",0.00174428604743515
35,"2013",0.00241272719262989,0.00232590343286268,0.00250279200065112,"Ambos",0.0021204861400715
40,"2013",0.00328044260575449,0.00314000993467735,0.00342715593693021,"Ambos",0.00280809373275127
45,"2013",0.0045078206629084,0.0043991047462017,0.00461922329685127,"Ambos",0.00396083809869948
50,"2013",0.00657102292965126,0.00632545151352362,0.00682612810321741,"Ambos",0.00575135191609925
55,"2013",0.00944447591319527,0.00907000347221423,0.00983440916513232,"Ambos",0.00838941690311158
60,"2013",0.013221732066011,0.0130358465751989,0.0134102682029084,"Ambos",0.0125794312033981
65,"2013",0.0199674564405326,0.0196644008357917,0.0202751825511452,"Ambos",0.0185197840392794
70,"2013",0.0298744877929705,0.028348530221568,0.0314825853021941,"Ambos",0.0265915836765864
75,"2013",0.0448115886548332,0.043640833228892,0.0460137520115118,"Ambos",0.0432529318596678
80,"2013",0.0757020652063789,0.0743775529642444,0.077050164305161,"Ambos",0.0710435754189944
85,"2013",0.121227534689903,0.118580111810133,0.123934064006641,"Ambos",0.118452282287798
90,"2013",0.1917818470149,0.189379661425044,0.194214503118668,"Ambos",0.19793032230377
